,VIOLATION_TEXT,Unnamed: 14
163,"Section 16.24.450 (B) - Sanitary Drainage (Maintenance) Every plumbing stack, vent, and waste and sewer line shall function properly and be kept free from obstructions, leaks, and defects.",
164,Section 16.24.450 (A) - Sanitary Drainage (General) All plumbing fixtures shall be properly connected to either a public sewer system or to an approved private sewage disposal system.,
165,"Section 16.24.330 (K) (8) - School Buses: On any property containing a single-family or two-family home, one school bus may be parked or stored on the property, provided the driver of the bus resides on the premises and the bus is operated by a private or public K-12 school or school system in Davidson County. No more than one school bus may be parked or stored on the property, regardless of the number of bus drivers residing on the premises.",
166,Section 15.40.040 - Connection Required: Any persons owning improved parcels contiguous to public rights-of-way and/or public utility easements containing public sanitary sewers shall make connection to the public infrastructure in accordance with the department's current specifications and sewer acceptability policy.,
167,"Section 15.72.020(B) - Private connections permitted: In the event any building or premises fails to connect with an available public sewer and the malfunctioning or inadequacy of the private sewage disposal system serving such building or premises gives rise to an unsanitary condition, threatening or causing a nuisance, the chief medical director or authorized personnel of the department of health shall serve written notice upon the owner, occupant or agent of the owner, of the building or premises, requiring a connection to the public sewer within a specified period of time, which shall reasonably take into consideration the circumstances of such owner, occupant or agent, but which shall primarily reflect the public health exigencies involved. Such connection shall be at the expense of the owner, occupant or agent. ",
168,"Section 15.72.070 - discharge of waste into a body of water: It is unlawful for any person to dispose of human waste, household waste, business waste or industrial waste, or to pipe or transmit sewage or effluent from any septic tank or other sewer system of any type into any stream, river, lake, pond, marsh, watercourse, waterway, well, cave, sinkhole, open ditch, spring, irrigation or drainage system, or any body or accumulation of water, surface or underground, natural or artificial, public or private, without having first obtained a permit issued by the metropolitan board of health. The board of health is authorized to promulgate such rules and regulations pertaining to the issuance of such permit as it deems necessary to insure that the health of the residents of the metropolitan government is protected.",
169,"Section 15.72.060 - Runoff of contents unlawful: It is unlawful for any person to draw off or allow to run on any ground, street or alley in the metropolitan government area the contents or any part thereof of any vault, privy, cesspool or place where animals or fowl are kept. Any person so offending or failing to comply with this section after seventy-two hours' notice from the department of health to abate the same shall be deemed guilty of a violation of this code.",
170,"Section 15.72.040 - Septic tanks (exposed sewage): Whenever such septic tanks, drainage or disposal fields are found to be in an unsanitary condition and to constitute a public health nuisance, the same shall be condemned upon action by the chief medical director, and the owner, occupant or agent shall put such premises in a sanitary condition and abate such nuisance within the time stated upon the written notice served upon him by the chief medical director or his authorized representative.",
171,Section 17.32.050 (S) - Portable Signs: Portable signs as defined by this title [are prohibited].,
172,Section 17.32.050 (M) - Prohibited Signs (Blank): Blank on-premises temporary signs [are prohibited].,
173,"Section 17.32.040 (M) – Temporary Signs and Displays: Temporary merchandise displays and signs behind storefront windows which are not affixed permanently to the glass, nor intended for permanent display, and non-illuminated, provided that such temporary signs do not cover more than twenty-five percent of the total surface area of the storefront window. ",
174,Section 17.40-510 (D) - Abandoned Signs - [Signs identified by] the zoning administrator as abandoned. The sign must be removed from the premises. ,
175,"Section 17.40.510 (C) - Dilapidated Signs - All signs regulated by this title, together with their supports, braces, guys and anchors shall be mainteind in good repair. ",
176,Section 17.32.050 (R ) - Prohibited Signs (Harmful): signs displaying copy that is harmful to minors as defined by this title. ,
177,"Section 17.32.050 (E) - Prohibited Signs: Signs placed upon bus benches, bus shelters, or waste receptacles [are prohibited].",
178,Section 17.32.050 (F) - Prohibited Signs: Signs erected on public property (such as private utility poles) located on public property [are prohibited].,
179,Section 17.32.020 (B) (3) - Maintenance: All signs shall be maintained in good surface and structural condition and in compliance with all building and electrical codes. ,
180,Section 17.32.020 (B) (2) - Permanency Required: All signs shall be constructed of permanent materials and shall be permanently affixed to the ground or building.,
181,"Section 17.32.050 (G) (3) - Prohibited Signs: Sign display areas with varying light illumination and/or intensity, blinking, bursting, dissolving, distorting, fading, flashing, oscillating, rotating, scrolling, sequencing, shimmering, sparkling, streaming, traveling, tracing, twinkling, simulated movement, or convey the illusion of movement. ",
182,"Section 17.40.520 – Illegal Signs – Permit Required: Signs constructed, erected, or altered without a permit as required by Article XI of the Zoning Code or by the provisions of prior regulations shall be illegal. ",
183,"Section 17.32.050 - Prohibited Signs: It is unlawful to erect, cause to be erected, maintain or cause to be maintained, any sign not expressly authorized by, or exempted from, this title. ",
184,Section 17.32.040 (G) - Hand Carried Signs: Signs carried by a person when the person does receive financial compensation [is prohibited].,
185,"Section 17.32.050(G) (1) - Prohibited Signs: Signs with any copy, graphics, or digital displays that change messages by electronic or mechanical means, where the copy, graphics, or digital display does not remain fixed, static, motionless, and non-flashing for a period of eight seconds with all copy changes occurring instantaneously without any special effects.",
186,"Section 17.40.510 (B) (1) - Illegal Signs - Signs constructed, erected or altered without a permit as required by this article or by the provisions of prior regulations shall be illegal.",
187,"Section 17.32.050 (Q) - Prohibited Signs: Signs attached to, suspended from or painted on any motor vehicle, trailer or other equipment in: (2) Nonresidential districts. [Vehicles] regularly parked on the premises shall be confined to the portion of the property behind the front line of the building (when not being loaded).",
188,"Section 17.32.050 (O) - Prohibited Signs: Signs, commonly referred to as wind signs, consisting of one or more flags which are not otherwise exempted, pennants, ribbons, spinners, streamers or captive balloons which are less than ten feet in their greatest diameter, or other objects or material fastened in such a manner as to move upon being subjected to pressure by wind.",
189,Section 16.24.350 (B) - Structural Members: All structural members shall be structurally sound and capable of supporting the imposed loads.,
190,"Section 16.04.110 – Violation of Stop Work Order: Upon notice…that work on any building or structure is being done contrary to the provisions of Chapters 16.04 and 16.28 through 16.56, or in a dangerous or unsafe manner, such work shall be immediately stopped. ",
191,Section 17.04.100 – No Use and Occupancy Issued: Failure to obtain a Final Use & Occupancy Inspection upon the expiration of the Temporary U & O.,
192,"Section 16.24.420 (B) - Toilet Rooms (Location) Toilet rooms and bathrooms serving hotel units, rooming units, or dormitory units, shall have access by traversing not more than one flight of stairs and shall have access from a common hall or passageway.",
193,"Section 16.24.420 (A) - Toilet Rooms (Privacy) Toilet rooms and bathrooms shall provide privacy and shall not constitute the only passageway to a hall, other space, or to the exterior. A door and interior locking device shall be provided for all common or shared bathrooms and toilet rooms in a multiple dwelling.",
194,Section 16.24.420 (C) - Toilet Rooms Toilet facilities for employee use shall have access from within the employees' regular working area. Required toilet facilities shall be located not more than one story above or below the employees' regular working area and the path of travel to such facilities shall not exceed a distance of five hundred feet. Employee facilities shall either be separate facilities or public customer facilities.,
195,"Section 16.24.330 (K) (7) - Tractor-Trailers: On any residential property containing a single family or two-family home, no tractor-trailer (or portion thereof) shall be stored or parked anywhere on the property.",
196,"Ordinance 89-826 - Trash Cans: Refuse containers are to be placed at curb, street or alley no later than 7:00 a.m. on the scheduled day of collection and removed from the curb by 7:00 p.m. on the day of collection.",
197,"Section 16.24.330 (K) (6) - Trucks: On any residential property containing a single-family or two-family home, no truck with a maximum axle-load capacity of mre than one and one-half tons shall be stored or parked anywhere on the property.",
198,Section 17.08.030 – Use Not Permitted: The use of the property is not in compliance with the applicable provisions of the Metro Zoning Ordinance. -,
199,"Section 16.24.320 – Vacant Buildings and Structures: All vacant buildings, structures, and the premises thereof, shall be maintained in a safe, clean, and sanitary condition as provided herein so as not to cause blight and or otherwise adversely affect the public health, safety, or welfare. ",
200,"Section 16.24.390 (B) - Ventilation (Bathrooms) Every bathroom and toilet room shall comply with the ventilation requirements for habitable spaces as required above, except that a window shall not be required in such spaces equipped with a mechanical ventilation system of sufficient capacity to provide at least one complete air change each six minutes. Air exhausted by a mechanical ventilation system from a bathroom or toilet room shall discharge to the outdoors and shall not be re-circulated.",
201,"Section 16.24.390 (C) - Ventilation (Cooking Facilities) Unless approved through the certificate of occupancy, cooking shall not be permitted in any rooming unit or dormitory unit, and a cooking facility or appliance shall not be permitted to be present in a rooming unit or dormitory unit.",
202,Section 16.24.390 (E) - Ventilation (Clothes Dryer Exhaust) Systems to manage exhaust from clothes dryers shall be independent of all other systems and shall be installed in accordance with the manufacturer's instructions.,
203,"Section 16.24.390 (A) - Ventilation (Habitable Spaces) In dwelling units, every habitable space shall have at least one openable window. The total openable area of the window in every room shall be equal to at least forty-five percent of the minimum glazed area required in Section 16.24.380.",
204,"Section 16.24.390 (D) - Ventilation (Process) Where injurious, toxic, irritating or noxious fumes, gases, dusts, or mists are generated, a local exhaust ventilation system shall be provided to remove the contaminating agent at the source. Air shall be exhausted to the exterior and not be re-circulated to any interior space.",
205,"Section 16.24.440 (B) - Water System (Contamination) The water supply shall be maintained free from contamination and all water inlets for plumbing fixtures shall be located above the flood-level rim of the fixture. Shampoo basin faucets, janitor sink faucets, and other hose bibs or faucets to which hoses are attached and left in place shall be protected by an approved atmospheric-type vacuum breaker or an approved permanently attached hose connection vacuum breaker.",
206,"Section 16.24.440 (A) - Water System (General) Every sink, lavatory, bathtub or shower, drinking fountain, water closet, or other plumbing fixture shall be properly connected to either a public water system or to an approved private water system. All kitchen sinks, lavatories, laundry facilities, bathtubs, and showers shall be supplied with hot or tempered and cold running water in accordance with the plumbing code.",
207,"Section 16.24.440 (C) - Water (Supply) The water supply system shall be installed and maintained to provide a supply of water to plumbing fixtures, devices, and appurtenances in sufficient volume and at pressures adequate to enable the fixtures to function properly, safely, and free from defects and leaks.",
208,"Section 16.24.440 (D) - Water (Heating) Water heating facilities shall be properly installed and maintained, and shall provide an adequate amount of water to be drawn at every required sink, lavatory, bathtub, shower, and laundry facility at a temperature of not less than one hundred twenty degrees Fahrenheit. A gas-burning water heater shall not be located in any bathroom, toilet room, bedroom, or other occupied room normally kept closed, unless adequate combustion air is provided. An approved combination temperature and pressure-relief valve and relief valve discharge pipe shall be properly installed and maintained on water heaters.",
209,See SW Code,
210,See SW Code,
211,See SW Code,
212,See SW Code,
213,,
214,"Section 16.24.330 - Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound, in good repair, and in an otherwise safe, clean and sanitary condition.",
215,No trailer or watercraft shall be stored in the front yard on the grass but may be stored on a paved or gavel driveway in front of the house.  A trailer or watercraft may be stored in the yard behind the front facade of the residential structure.,
216,Section 10.20.330 – Dumpsters – Hours of Collection: No person shall empty container between the hours of 11 p.m. and 7 a.m. when the containers are located within 600 feet of any residential structure.,
217,"Section 16.24.330 - Exhaust Fans:  Exhaust fans or blowers, etc. shall not discharge directly upon adjacent property.",
218,Section 16.24.340 - Exterior Repair: The exterior of all buildings shall be maintained in good repair.,
219,Section 16.24.320 - Failure to Secure.,
220,"Section 16.04.200 - Fence Materials:  Expressly prohibited, electric fences, barbed wire below six feet or fences erected with barbs or sharp projections on top unless erected to contain livestock or under other certain conditions wherein a zoning permit has been issued.",
221,Section 16.24.330 - Gates:  Shall be maintained such that the gate will positively close and latch if required to be self-closing.,
222,"Section 16.24.340 - Graffiti: It shall be the duty of the owner of the building, structure and or real property on which the building or structure that has been defaced to restore said surface to an approved state of maintenance and repair.",
223,"Section 16.24.330 - High Weeds: All premises shall be maintained free from weeds, grasses, plants & vegetation in excess of 12-inches other than ornamental grasses.",
224,"Section 16.24.330 - Accumulation of Motor Vehicles: The parking, storage or accumulation of an inoperable, unregistered motor vehicle or a vehicle in a state of major disrepair on private property on any premises is prohibited.",
225,"Section 16.24.350 - The interior of a building or structure and any equipment therein shall be maintained in good repair, structurally sound, and in a clean and sanitary condition.",
226,"Failure to register as a landlord.  T.C.A. 66-28-101 requires each landlord of one (1) or more dwelling units within Davidson County to pay a $10 registration fee and furnish the following information to the Department of Codes (A) the landlord's name, address and telephone number, or the name, address and telephone number of the landlord's agent; and (B) list the street address and unit number, as appropriate, for each dwelling unit that the landlord owns, leases, or subleases or has the right to own, lease, or sublease.  Fee is due and payable the same time period as Metro Property Taxes.  Make checks payable to the Metro Dept. of Codes & Building Safety.  Mail or bring to: Landlord Registration, 800 Second Avenue South, 3rd Floor, Nashville, TN 37210.  Registration forms may be obtained from www.nashville.gov/codes or by calling 615-862-6590.",
227,"Section 16.24.330 - Open Storage:  It is unlawful to store in the open area of the yard or structure,  trash, rubbish, furniture, appliances, automobile parts, including dead trees, weeds and garbage, etc (Junk, Trash and Debris).",
228,"Section 16.24.330 - Parking on Grass: Parking or storing motor vehicles on the grass is prohibited.  Vehicles must be parked on a paved or graveled area, other than a sidewalk.  This shall not be applicable to any vehicle for which a valid disabled driver license plate or placard has been issued and is visibly displayed on or in the vehicle.",
229,Section 16.24.330 - Parking area for residential property shall not exceed 25% of the total lot area.,
230,Section 16.24.340 - Address Identification - Non-Residential:  All buildings and structures shall have approved address numbers at least 6-inches in size in a position to be plainly visible and legible from the street or road fronting the premises.,
231,Section 16.24.340 - Address Identification - Multi-Family:  All buildings and structures shall have approved address numbers at least 6-inches in size in a position to be plainly visible and legible from the street or road fronting the premises.  Individual units must have identifying numbers at least 3-inches in height on or at the doors of each unit.,
232,Section 16.24.340 - Address Identification - Residential:  All buildings and structures shall have approved address numbers at least 3-inches in size posted on residence or mailbox.,
233,Section 16.24.330 - Rodent Harborage: All structures shall be kept free from rodent infestation.,
234,"Section 16.24.330 - Sidewalks & Driveways: Shall be kept in a proper state of repair, safe, clean & sanitary.",
235,"Section 16.24.330 - Swimming Pools:  Shall be maintained in a safe, clean, sanitary and in good repair.",
236,"Ord. 89-826 - Trash Cans: Refuse containers shall be placed at curb, street or alley no later than 7:00 a.m. on the scheduled day of collection and removed the same day.",
237,"Section 16.28.010 - Building Permit Required: A permit must be obtained by every person desiring to construct, alter, repair, enlarge, move or demolish any building or structure or part thereof.",
238,"Section 16.04.110 – Violation of Stop Work Order: Upon notice…that work on any building or structure is being done contrary to the provisions of Chapters 16.04 and 16.28 through 16.56, or in a dangerous or unsafe manner, such work shall be immediately stopped.",
239,Section 17.04.100 - No Use and Occupancy Issued: Failure to obtain a Final Use & Occupancy Inspection upon the expiration of the Temporary U & O.,
240,"Section 16.24.500 (A) - Electrical Equipment Installation: All  electrical equipment,  wiring, and  appliances shall be properly installed and maintained in a safe and approved manner.",
241,Section 16.24.500 (B) Receptacles: Every habitable space in a dwelling shall contain at least two separate and remote receptacle outlets.  Every laundry area shall contain at least one ground-type receptacle or a receptacle with a ground fault circuit interrupter.  Every bathroom shall contain at least one receptacle.  Any new bathroom receptacle outlet shall have ground fault circuit interrupter protection.,
242,"Section 16.24.500 (C) - Lighting Fixtures: Every  public hall,  interior stairway,  toilet room,  kitchen,  bathroom,  laundry room,  boiler room, and  furnace room shall contain at least one electric lighting fixture.",
243,Section 16.24.490(A) - Electrical Facilities Required: Every occupied building or structure shall be provided with an electrical system in compliance with the requirements of this section and Section 16.24.530.,
244,"Section 16.24.490 (B) - Electrical Service: Service to the dwelling unit shall be a minimum of one hundred ampere, with three-wire capacity and service equipment shall be dead-front, having no live parts exposed.  Type “S” fuses shall be installed when fused equipment is used.",
245,"Section 16.24.490 (C) - Electrical System Hazards: [The] electrical system in a building or structure constitutes a hazard to the occupants or the building or structure by reason of  inadequate service,  improper fusing,  insufficient receptacles and  lighting outlets,  improper wiring,  or installation,  deterioration,  damage, or for similar reasons, the defects [are] to be corrected to eliminate the hazard.",
246,Section 16.24.490 (C) - Electrical System Hazards (Certification): Electrical system must be inspected and certified to be in a safe operating condition by a licensed electrician.,
247,"Section 16.24.550 (B) - 1a & b Installation: Existing one and two-family dwellings -  outside each separate sleeping room, in the immediate vicinity of the sleeping room and  on each additional story of the dwelling unit including basements.",
248,Section 16.24.550 (A) - Smoke Detectors: Existing Group R occupancies not already provided with single-station smoke alarms/detectors shall be provided with approved single-station smoke alarms/detectors,
249,"Section 16.24.530 (H) - Locked Doors: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys, tools, or special knowledge or effort.",
250,"Section 16.24.530 (B) - Emergency Escape and Rescue Openings: Basements with habitable rooms and every sleeping room shall have at least one openable emergency escape and rescue window or exterior door opening.  Where openings are provided as a means of escape and rescue, they shall have a sill height of not more than forty-four inches.",
251,"Section 16.24.530 (A) - General: A safe, continuous, and unobstructed means of egress shall be provided from any point in a building or structure to the public way, in accordance with the requirements of the building code and fire code as adopted by the metropolitan government.",
252,Section 16.24.530 (C) - Minimum Net Clear Opening: All emergency escape and rescue openings shall have a minimum net clear opening of four square feet.,
253,Section 16.24.530 (D) - Minimum Net Clear Opening Height: All emergency escape and rescue openings shall have a minimum net clear opening height of twenty-four inches.,
254,Section 16.24.530 (E) - Minimum Net Clear Opening Width: All emergency escape and rescue openings shall have a minimum net clear opening width of twenty inches.,
255,"Section 16.24.530 (F) - Operation: Required emergency escape and rescue openings shall be operational from the inside of the room or space without the use of keys or special tools, knowledge, or effort.",
256,"Section 16.16.030 (B) - Proper maintenance required - Owner's responsibility - .   All devices, equipment and safeguards required by this chapter shall be installed and properly maintained in a safe and clean manner and in good working order. The owner, or his designated agent, shall be held responsible for the proper maintenance of all gas/mechanical installations and gas/mechanical systems.",
257,"Section 16.16.030 (A) - Proper maintenance required- All mechanical, heating, ventilating, air conditioning and refrigeration, both new and existing, and all parts thereof and appurtenances thereto, shall be installed and maintained as required by this chapter, in a safe and clean condition.",
258,"Section 16.16.020 (B) - The provisions of this code shall also apply to the installation of mechanical systems, including alterations, repairs, replacement, equipment, appliances, fixtures, fittings and/or appurtenances, including ventilating, heating, cooling, air conditioning and refrigeration systems, incinerators, radon gas reduction systems, and other energy-related systems.",
259,"Section 16.24.340 (U) (2) – Boarding of Vacant Buildings – Requirements: A vacant building that is boarded shall be boarded by using a minimum of three-eight inch plywood, OSB, or composite board or equivalent. Any board placed on a vacant building shall be painted a color consistent with the color of the structure using exterior grade paint, and shall be cut to fit into any windows, doors or other openings on such vacant building.",
260,"Section 16.24.340 (U) (1) – Boarding of Vacant Buildings Required: A vacant building or structure deem[ed] to be unsafe, or considered a hazard to the public health, safety, or welfare, [shall] be locked, boarded or otherwise secured.",
261,"Section 16.24.130 – Certificate of Occupancy Required: It is unlawful to acquire utility services to serve any vacant dilapidated or substandard building or structure or part thereof, or any existing dilapidated or substandard building or structure, or part thereof, becoming vacant, until such time as the building or structure has been brought into compliance with chapter 16.24 and a valid certificate of occupancy has been issued.",
262,Section 16.24.330 (O) – Fences (Barbed Wire): Barbed wire or razor wire fencing shall be prohibited in all residential zoning districts unless the property satisfies all of the requirements of Section 17.16.330.,
263,"Section 16.24.330 (H) – Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained in a structurally sound manner, in good repair, and in an otherwise safe, clean, and sanitary condition.",
264,"Section 16.24.340 (R) – Basement Hatchways: Basement hatchways, bulkhead enclosures, and crawl space access doors shall be maintained to prevent the entrance of rodents, rain, and surface drainage water.",
265,"Section 16.24.340 (J) – Balconies: Every exterior balcony and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",
266,"Section 16.24.340 (K) – Chimneys and towers: All chimneys, cooling towers, smoke stacks, and similar appurtenances shall be maintained structurally safe and sound, and in good repair.",
267,"Section 16.24.340 (H) – Decorative Features: All cornices, belt courses, corbels, terra cotta trim, wall facings, and similar decorative features shall be maintained in good repair with proper anchorage and in a safe condition.",
268,"Section 16.24.340 (J) – Decks: Every exterior deck and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",
269,"Section 16.24.340 (Q) – Doors: All exterior doors, door assemblies, and hardware shall be maintained in good condition. Locks at all entrances to dwelling units, rooming units and guestrooms shall tightly secure the door. Locks on means of egress doors shall be in accordance with the requirements of Section 16.24.530 as follows: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys or special knowledge, tools, or effort, except where the door conforms to that permitted by the building code.",
270,"Section 16.24.330 (G) – Exhaust Vents: Exhaust pipes, ducts, conductors, fans, vents, or blowers shall not discharge gases, steam, vapor, hot air, crease, smoke, odors, or other gaseous or particulate wastes directly upon abutting or adjacent public or private property or that of another tenant.",
271,"Section 16.24.340 (F) – Exterior Walls: All exterior walls shall be free from holes, breaks, and loose or rotting materials, and shall be maintained in a weatherproof and properly coated where required to prevent deterioration.",
272,Section 16.24.340 (E) – Foundation Walls: All foundation walls shall be maintained plump and free from open cracks and break and shall be kept in such condition so as to prevent the entry of rodents and other pests.,
273,"Section 16.24.330 (M) – Fence Maintenance: Metal fences shall consist of materials manufactured and/or treated in a manner to prevent rust or corrosion. Wood fences shall be painted, stained or preserved in a manner to maintain the fence in good structural condition. This is not limited to the replacement of broken boards or sections and preventing paint from peeling.",
274,"Section 16.24.330 (L) – Fencing Materials: Fencing shall be either woven wire or chain link, wrought iron, wood, vinyl, steel or aluminum slats, masonry consisting of brick, concrete block, split-face block, dry-stack stones, or stones and mortar;  Plastic or other approved synthetic material, or decorative-type split rail or dry-stack stone used for decorative fences.",
275,"Section 16.24.330 (I) – Gates: gates which are required to be self-closing and self-latching, in accordance with the Building Code shall be maintained such that the gate will positively close and latch when released from a still position of six inches from the gatepost.",
276,Section 16.24.340 (N) – Glazing: All glazing materials shall be maintained free from cracks and holes.,
277,"Section 16.24.330 (C) – Grading Required: All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any building or structure located thereon.",
278,"Section 16.24.340 (G) – Roof Gutters: Roof drains, gutters, and downspouts shall be maintained in good repair and free from obstructions. Water shall not be discharged in a manner that creates a public nuisance.",
279,Section 16.24.340 (L) – Handrails and Guards: Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.,
280,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of food preparation areas, food service areas, or any areas where products to be included or utilized in food for human consumption are processed, manufactured, packaged or stored shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch.",
281,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of habitable rooms shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch.",
282,"Section 16.24.340 (O) – Openable Windows: Every window, other than a fixed window shall open and close easily and shall be capable of being held in either position by window hardware.",
283,"Section 16.24.340 (I) – Overhang Extensions: All overhang extensions including, but not limited to canopies, marquees, signs, metal awnings, fire escapes, standpipes, and exhaust ducts shall be maintained in good repair and shall be properly anchored so as to be in a sound condition.",
284,"Section 16.24.330 (K)(3) – Motor Vehicles (Parking): Every motor vehicle located on private property shall be either stored inside a fully enclosed structure or similarly enclosed area designated and approved for such purposes, or parked or stored in a safe manner on a paved or graveled area, other than a sidewalk.",
285,"Section 16.24.340 (C)(2) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Nonresidential property shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",
286,"Section 16.24.340 (C)(1)– Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Residential property shall have their numbers at least three inches in size, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",
287,"Section 16.24.340 (C)(3) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Multifamily buildings shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",
288,"Section 16.24.340 (J) – Porches: Every exterior porch and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",
289,Section 16.24.330 (K)(3) – Vehicle Parking Area: Any paved or graveled parking area for private residential property shall not exceed twenty-five percent of the total lot area.,
290,Section 16.24.340 (B) – Protective Treatment (Metal Surfaces): All exterior surfaces shall be maintained in good condition. All metal surfaces subject to rust or corrosion shall be coated to inhibit such rust and corrosion and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion.,
291,"Section 16.24.340 (B) – Protective Treatment (Siding): All exterior surfaces shall be maintained in good condition. All siding and masonry joints, as well as those between the building envelope and the perimeter of windows, doors, and skylights, shall be maintained weather resistant and water tight.",
292,"Section 16.24.340 (B) – Protective Treatment (Wood): All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim balconies, decks and fences shall be maintained in good condition. Exterior wood surfaces, other than decay resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment.",
293,"Section 16.24.330 (F) – Rodent Harborage: All buildings, structures and exterior property shall be kept free from rodent harborage and infestation and conditions that promote or support rodent harborage and infestation.",
294,Section 16.24.340 (G) – Roof Drainage: Roof drainage shall be adequate to prevent dampness or deterioration in the walls or interior portion of the building or structure.,
295,"Section 16.24.340 (G) – Roof System: The roof and flashing shall be sound, tight, and not have defects that admit rain.",
296,"Section 16.24.330 (A) – Sanitation: All exterior property and premises shall be maintained in a safe, clean, and sanitary condition. The occupant of a building, structure or premises, or part thereof, shall keel that part of the exterior property and premises that such occupant occupies or controls in a safe, clean, and sanitary condition.",
297,"Section 16.24.330 (D) – Sidewalks and Driveways: All sidewalks, walkways, stairs, driveways, parking spaces, and similar areas shall be kept in a proper state of repair, shall be maintained free from hazardous conditions, and shall be kept in a safe, clean, and sanitary condition.",
298,"Section 16.24.340 (J) – Stairways: Every exterior stairway and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",
299,"Section 16.24.340 (D) – Structural Members: All structural members shall be maintained free from deterioration, and shall be capable of safely supporting the imposed dead and live loads.",
300,"Section 16.24.330 (J) – Swimming Pools: Swimming pools shall be maintained in a safe, clean, and sanitary condition, and in good repair.",
301,"Section 16.24.330 (P) – Trailers and Watercraft: No trailer or watercraft located on private single family or two-family residential property shall be stored in the front yard of the property, but shall be stored on a paved or graveled driveway, or behind the front façade of the residential structure.",
302,Section 16.24.330 (K)(1) – Motor Vehicles (Condition): No inoperable or currently unregistered motor vehicle shall be openly parked or stored on any premises within the area of the metropolitan government.,
303,Section 16.24.330 (K)(4) – Vehicle Painting: Painting of motor vehicles is prohibited unless conducted inside an approved spray booth.,
304,"Section 16.24.330 (K)(1) – Motor Vehicles (Repair): No vehicle shall be at any time in a state of major disassembly or disrepair, nor shall it be in the process of being stripped or dismantled, nor shall it undergo a major overhaul, including body work, on any private property (residential).",
305,Section 16.24.330 (E) – High Weeds: All premises and exterior property shall be maintained free from weeds in excess of twelve inches.,
306,"Section 16.24.340 (M) – Window, Skylight and Door Frames: Every window, skylight, door and frame shall be maintained in good condition.",
307,"Section 16.24.370 (C) - Extermination required (Multiple Occupancy) The owner of a building or structure containing two or more dwelling units, a multiple occupancy, a rooming house, or a nonresidential building or structure shall be responsible for extermination in the public or shared areas of the building or structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied by said occupant, the occupant shall be responsible for extermination.",
308,Section 16.24.370 (B) - Extermination Required (Single Occupant) The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for extermination on the premises.,
309,"Section 16.24.370 (A) - Extermination Required (Owner Responsibility) The owner of any building or structure shall be responsible for extermination within the building or structure, or part thereof, prior to renting or leasing the building or structure, or part thereof.",
310,"Section 16.24.370 - Extermination Required. Approved extermination processes that are not injurious to human health shall be promptly employed to rid any building or structure in which insects or rodents are found. After extermination, proper precautions shall be taken to prevent re-infestation.",
311,Section 16.24.370 (D) - Extermination Required (Occupant) The occupant of any building or structure shall be responsible for the continued rodent and pest-free condition of the structure.,
312,"Section 16.24.340 – Exterior Repair: The exterior of a building or structure shall be maintained in good repair, structurally sound, and in a clean and sanitary condition so as not to pose a threat to the public health, safety, or welfare.",
313,"Section 16.24.340 (S) – Guards for Basement Windows: Every basement or cellar window, that is openable, shall be supplied with screens of standard-size mesh, or other approved protection against the entry of rodents.",
314,"Section 16.24.340 (T) – Defacement of Property: No person shall willfully or wantonly damage, mutilate, or deface any exterior surface of any building or structure, located on any private or public property, by placing thereon any marking, carving, or graffiti. It shall be the duty of the owner of the building, structure, and or real property on which the building or structure is located to restore said surface to an approved state of maintenance and repair.",
315,Section 16.24-470 (A) - Heating Required Heating facilities shall be provided in buildings and structures as required by this section.,
