,VIOLATION_DESC,VIOLATION_TEXT
125,Mechanical Equip – Appliances,"Section 16.24.480 (A) - Mechanical Equipment (Appliances) All mechanical appliances, fireplaces, solid fuel-burning appliances, cooking appliances, and water heating appliances shall be properly installed and maintained in a safe working condition and shall be capable of performing the intended function."
127,Continuous & Intermittent Noise,Section 17.28.090 (C) - Noise Levels: Sound level of continuous and intermittent noise exceeds maximum sound levels across lot lines or district boundaries.
128,Garbage causing nuisance,"Section 10.20.120 - Nusiance Declared: It is unlawful for any person to keep, cause to be kept, or allow the keeping of garbage or rubbish on any premises within the area of the metropolitan government in such manner that it will become offensive or deleterious to health or likely to cause disease, and the same is declared a public nuisance. "
129,Occupancy – Access from Bedrooms,Section 16.24.400 (F) - Occupancy (Access to Bedrooms) Bedrooms shall not constitute the only means of access to other bedrooms or habitable spaces and shall not serve as the only means of egress from other habitable spaces.
130,Occupancy – Bedroom Requirements,Section 16.24.400 (D) - Occupancy (Bedroom Requirements) Every bedroom shall comply with the requirements of Sections 16.24.400(E) through 16.24.400(I)
131,Occupancy Limits – Privacy,"Section 16.24.400 (A) - Occupancy Limits (Privacy) Dwelling units, hotel units, rooming units, and dormitory units shall be arranged to provide privacy and be separate from other adjoining spaces."
132,Occupancy – Overcrowding,Section 16.24.400 (J) - Occupancy (Overcrowding) Dwelling units shall not be occupied by more occupants than are permitted by the minimum area requirements of Table 16.24.400.
133,Occupancy – Other Requirements,"Section 16.24.400 (I) - Occupancy (Other Requirements) Bedrooms shall comply with the applicable provisions of this chapter including, but not limited to, the light, ventilation, room area, ceiling height and room width requirements; the plumbing facilities and water-heating facilities requirements; the heating facilities, electrical receptacle requirements; and the smoke detector and emergency escape requirements."
134,Occupancy Prohibited,Section 16.24.400 (H) - Occupancy Prohibited Kitchens and non-habitable spaces shall not be used for sleeping purposes.
135,Occupancy – Minimum Ceiling Heights,"Section 16.24.400 (C) - Occupancy (Minimum Ceiling Height) Habitable spaces, hallways, corridors, laundry areas, bathrooms, toilet rooms and habitable basement areas shall have a clear ceiling height of not less than seven feet."
136,Occupancy – Minimum Room Widths,"Section 16.34.400 (B) - Occupancy (Minimum Room Width) A habitable space, other than a kitchen, shall not be less than seven feet in any plan dimension. Kitchens shall have a clear passageway of not less than three feet between counter fronts and appliances or counter fronts and walls."
137,Occupancy – Sleeping Rooms,"Section 16.24.400 (E) - Occupancy (Sleeping Rooms) Every bedroom occupied by one person shall contain at least seventy square feet of floor area, and every bedroom occupied by more than one person shall contain at least fifty square feet of floor area for each occupant thereof."
138,Occupancy – Water Closet Access,Section 16.24.400 (G) - Occupancy (Water Closet Access) Every bedroom shall have access to at least one water closet and one lavatory without passing through another bedroom. Every bedroom in a dwelling unit shall have access to at least one water closet and lavatory located in the same story as the bedroom or an adjacent story.
139,Exterior Prop Area – Open Storage - All,"Section 16.24.330 (B) – Open Storage: It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of any inoperable, unlicensed, or unregistered motor vehicle; appliance; building material, including glass, brick, stone, wood, or metal; rubbish, tires; automotive parts; or debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items."
140,Exterior Prop Area – Open Stor – Debris,"Section 16.24.330 (B) – Open Storage (Debris): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items."
141,Exterior Prop Area – Open Storage – JTD,"Section 16.24.330 (B) – Open Storage (Junk, Trash, and Debris): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of appliances; building materials, including glass, brick, stone, wood, or metal; rubbish, tires; automotive parts; or debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items."
142,Exterior Prop Area – Open Storage - Veh,"Section 16.24.330 (B) – Open Storage (Vehicles): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of any inoperable, unlicensed, or unregistered motor vehicle and/or tires and automotive parts."
143,Paving Permanent Parking Areas,"Section 17.20.070 (G) - Paving: Permanent parking areas containing five or more spaces shall be surfaced with asphalt or concrete, or other hard-surfaced dustless materials, and shall be constructed to provide adequate drainage. "
144,Building and Zoning Permit Required,Section 17.40.520 - Zoning Permit Required: An application for a zoning permit must be filed with the zoning administrator prior to any person commencing any construction or alteration of a structure or initiating a change in the use of the property.
145,Plumbing – Dwelling Units,"Section 16.24.410 (A) - Plumbing (Dwelling Units) Every dwelling unit shall contain a bathtub or shower, lavatory, water closet, and kitchen sink which shall be maintained in a sanitary, safe working condition. The lavatory shall be placed in the same room as the water closet or be located in close proximity to the door leading directly into the room in which such water closet is located. A kitchen sink shall not be used as a substitute for the required lavatory."
146,Plumbing – Employee Facilities,"Section 16.24.410 (D) - Plumbing (Employee Facilities) A minimum of one water closet, one lavatory, and one drinking facility shall be available to employees. Drinking facilities shall be a drinking fountain, water cooler, bottled water cooler, or disposable cups next to a sink or water dispenser. Drinking facilities shall not be located in toilet rooms or bathrooms."
147,Plumbing Systems – Fixture Clearance,Section 16.24.430 (B) - Plumbing Systems (Fixtures) All plumbing fixtures shall have adequate clearances for usage and cleaning.
148,Plumbing Systems – General Requirements,"Section 16.24.430 (A) - Plumbing Systems (General) All plumbing fixtures shall be properly installed and maintained in working order, shall be kept free from obstructions, leaks and defects, and shall be capable of performing the function for which such plumbing fixtures are designed. All plumbing fixtures shall be maintained in a safe, sanitary and functional condition."
149,Plumbing – Hotel,"Section 16.24.410 (C) - Plumbing (Hotel) Where private water closets, lavatories, and baths or showers are not provided, one water closet, one lavatory, and one bathtub or shower having access from a public hallway shall be provided for each ten occupants of any hotel."
150,Plumbing – Rooming Houses,"Section 16.24.410 (B) - Plumbing (Rooming Houses) At least one water closet, lavatory, and bathtub or shower shall be supplied for each four rooming units in a rooming house."
151,Plumbing Systems – System Hazards,"Section 16.24.430 (C) - Plumbing Systems (Hazards) Where it is found that a plumbing fixture or system in a building, structure, or premises constitutes a hazard to the occupants or the building, structure, or premises by reason of inadequate service, inadequate venting, cross connection, back siphonage, improper installation, deterioration, damage, or for similar reasons, the director shall require the defects to be corrected to eliminate the hazard."
152,Nuisance declared - holes,"Section 10.52.020 - Nuisance declared when: Holes, ponds, ditches and other depressions created by the mining, quarrying or digging operations by means of which rock, gravel, clay or other commercial products of the ground are obtained therefrom, which are left open and accessible to human beings who may receive injuries by reason thereof, are declared to be a nuisance."
153,Failure to Maintain Bldgs or Structures,"Section 16.24.310 – Responsibility: The owner of the premises shall fully maintain the buildings, structures and premises in compliance with the requirements of Metro Codes chapter 16.24. An owner shall not occupy or permit another person to occupy a building, structure, or premises which is not in a safe, clean, and sanitary."
154,Security Residence,"Section 17.16.030 (C) - Security Residence: Residence fails to meet the requirements for a security residence because  occupancy requirement not met,  residence not above or in the same building as business or  residence is being rented."
155,Consignment Sale,Section 17.16.030 (A) - Consignment Sale: Accessory use of residential property (consignment sale) not allowed because  minimum lot size requirement not met (3 acres) and or  only two events are allowed per calendar year.
156,Accumulation of garbage,"Section 10.32.130 - Accumulation of garbage: It is unlawful for any person to place, leave, dump or permit to accumulate any garbage, rubbish or trash in any building or premises so that same shall or may afford food or harborage for rats."
157,Storage and disposal of garbage,"Section 10.32.120 - Storage and disposal of garbage: All garbage or refuse consisting of waste animal or vegetable matter upon which rats may feed and all small dead animals shall be placed and stored, until collected, in covered metal containers of a type prescribed by the department of public works. It is unlawful for any person to dump or place on any premises, land or waterway any dead animals or waste vegetable or animal matter of any kind."
158,Rubbish and Garbage – Disposal  Garbage,Section 16.24.360 (C) - Disposal of Garbage. Every occupant of a building or structure shall dispose of garbage in a clean and sanitary manner by placing such garbage in an approved garbage disposal facility or in approved garbage containers.
159,Rubbish and Garbage – Containers,"Section 16.24.360 (E) - Containers. The operator of every establishment producing garbage shall provide, approved leak proof containers with close-fitting covers for the storage of such materials, and shall cause said containers to be utilized at all times. All rubbish and garbage storage facilities and containers shall be provided and handled in such manner as may be prescribed by the rules and regulations of the department of public works and the metropolitan health department."
160,Rubbish and Garbage – Disposal Rubbish,Section 16.24.360 (A) - Disposal of Rubbish. Every owner or occupant of a structure shall dispose of all rubbish in a clean and sanitary manner by placing such rubbish in approved containers.
161,Rubbish and Garbage – Garbage Facilities,"Section 16.24.360 (D) - Garbage Facilities. The owner of every dwelling shall supply one of the following: An approved mechanical food waste grinder in each dwelling unit; an approved incinerator unit in the structure available to the occupants in each dwelling unit; or an approved leak-proof, covered, outside garbage container accessible and sufficient in capacity to serve each dwelling unit."
162,Rubbish and Garbage – Rubbish Storage,Section 16.24.360 (B) - Rubbish Storage Facilities. The owner of every occupied premises shall supply approved covered containers for rubbish and shall be responsible for the clean and sanitary removal and disposal of all rubbish.
163,Sanitary Drainage System – Maintenance,"Section 16.24.450 (B) - Sanitary Drainage (Maintenance) Every plumbing stack, vent, and waste and sewer line shall function properly and be kept free from obstructions, leaks, and defects."
164,Sanitary Drainage System – General,Section 16.24.450 (A) - Sanitary Drainage (General) All plumbing fixtures shall be properly connected to either a public sewer system or to an approved private sewage disposal system.
165,School Buses,"Section 16.24.330 (K) (8) - School Buses: On any property containing a single-family or two-family home, one school bus may be parked or stored on the property, provided the driver of the bus resides on the premises and the bus is operated by a private or public K-12 school or school system in Davidson County. No more than one school bus may be parked or stored on the property, regardless of the number of bus drivers residing on the premises."
166,Connect to public sewer,Section 15.40.040 - Connection Required: Any persons owning improved parcels contiguous to public rights-of-way and/or public utility easements containing public sanitary sewers shall make connection to the public infrastructure in accordance with the department's current specifications and sewer acceptability policy.
167,Private connections permitted,"Section 15.72.020(B) - Private connections permitted: In the event any building or premises fails to connect with an available public sewer and the malfunctioning or inadequacy of the private sewage disposal system serving such building or premises gives rise to an unsanitary condition, threatening or causing a nuisance, the chief medical director or authorized personnel of the department of health shall serve written notice upon the owner, occupant or agent of the owner, of the building or premises, requiring a connection to the public sewer within a specified period of time, which shall reasonably take into consideration the circumstances of such owner, occupant or agent, but which shall primarily reflect the public health exigencies involved. Such connection shall be at the expense of the owner, occupant or agent. "
168,Runoff in body of water,"Section 15.72.070 - discharge of waste into a body of water: It is unlawful for any person to dispose of human waste, household waste, business waste or industrial waste, or to pipe or transmit sewage or effluent from any septic tank or other sewer system of any type into any stream, river, lake, pond, marsh, watercourse, waterway, well, cave, sinkhole, open ditch, spring, irrigation or drainage system, or any body or accumulation of water, surface or underground, natural or artificial, public or private, without having first obtained a permit issued by the metropolitan board of health. The board of health is authorized to promulgate such rules and regulations pertaining to the issuance of such permit as it deems necessary to insure that the health of the residents of the metropolitan government is protected."
169,Runoff of contents unlawful,"Section 15.72.060 - Runoff of contents unlawful: It is unlawful for any person to draw off or allow to run on any ground, street or alley in the metropolitan government area the contents or any part thereof of any vault, privy, cesspool or place where animals or fowl are kept. Any person so offending or failing to comply with this section after seventy-two hours' notice from the department of health to abate the same shall be deemed guilty of a violation of this code."
170,Septic Tank - Sewage on ground,"Section 15.72.040 - Septic tanks (exposed sewage): Whenever such septic tanks, drainage or disposal fields are found to be in an unsanitary condition and to constitute a public health nuisance, the same shall be condemned upon action by the chief medical director, and the owner, occupant or agent shall put such premises in a sanitary condition and abate such nuisance within the time stated upon the written notice served upon him by the chief medical director or his authorized representative."
171,Prohibited Sign - Portable Sign,Section 17.32.050 (S) - Portable Signs: Portable signs as defined by this title [are prohibited].
172,Prohibited Signs - Blank,Section 17.32.050 (M) - Prohibited Signs (Blank): Blank on-premises temporary signs [are prohibited].
173,Signs – Greater than 25 Percent,"Section 17.32.040 (M) – Temporary Signs and Displays: Temporary merchandise displays and signs behind storefront windows which are not affixed permanently to the glass, nor intended for permanent display, and non-illuminated, provided that such temporary signs do not cover more than twenty-five percent of the total surface area of the storefront window. "
174,Abandoned Signs,Section 17.40-510 (D) - Abandoned Signs - [Signs identified by] the zoning administrator as abandoned. The sign must be removed from the premises. 
175,Dilapidated Signs,"Section 17.40.510 (C) - Dilapidated Signs - All signs regulated by this title, together with their supports, braces, guys and anchors shall be mainteind in good repair. "
176,Prohibited Sign - Harmful,Section 17.32.050 (R ) - Prohibited Signs (Harmful): signs displaying copy that is harmful to minors as defined by this title. 
177,Signs – Prohibited Placement –BUS,"Section 17.32.050 (E) - Prohibited Signs: Signs placed upon bus benches, bus shelters, or waste receptacles [are prohibited]."
178,Signs – Prohibited Placement – Public,Section 17.32.050 (F) - Prohibited Signs: Signs erected on public property (such as private utility poles) located on public property [are prohibited].
179,Sign Maintenance ,Section 17.32.020 (B) (3) - Maintenance: All signs shall be maintained in good surface and structural condition and in compliance with all building and electrical codes. 
180,Sign Material,Section 17.32.020 (B) (2) - Permanency Required: All signs shall be constructed of permanent materials and shall be permanently affixed to the ground or building.
181,Electronic Sign (LED) Display Motion,"Section 17.32.050 (G) (3) - Prohibited Signs: Sign display areas with varying light illumination and/or intensity, blinking, bursting, dissolving, distorting, fading, flashing, oscillating, rotating, scrolling, sequencing, shimmering, sparkling, streaming, traveling, tracing, twinkling, simulated movement, or convey the illusion of movement. "
182,Sign Permit Required,"Section 17.40.520 – Illegal Signs – Permit Required: Signs constructed, erected, or altered without a permit as required by Article XI of the Zoning Code or by the provisions of prior regulations shall be illegal. "
183,Prohibited Signs,"Section 17.32.050 - Prohibited Signs: It is unlawful to erect, cause to be erected, maintain or cause to be maintained, any sign not expressly authorized by, or exempted from, this title. "
184,Signs – Prohibited – Handheld,Section 17.32.040 (G) - Hand Carried Signs: Signs carried by a person when the person does receive financial compensation [is prohibited].
185,Electronic Sign (LED) Display Timing,"Section 17.32.050(G) (1) - Prohibited Signs: Signs with any copy, graphics, or digital displays that change messages by electronic or mechanical means, where the copy, graphics, or digital display does not remain fixed, static, motionless, and non-flashing for a period of eight seconds with all copy changes occurring instantaneously without any special effects."
186,Unsafe or Illegal Sign,"Section 17.40.510 (B) (1) - Illegal Signs - Signs constructed, erected or altered without a permit as required by this article or by the provisions of prior regulations shall be illegal."
187,Signs – Prohibited (Vehicle Signs),"Section 17.32.050 (Q) - Prohibited Signs: Signs attached to, suspended from or painted on any motor vehicle, trailer or other equipment in: (2) Nonresidential districts. [Vehicles] regularly parked on the premises shall be confined to the portion of the property behind the front line of the building (when not being loaded)."
188,Signs – Prohibited - Wind,"Section 17.32.050 (O) - Prohibited Signs: Signs, commonly referred to as wind signs, consisting of one or more flags which are not otherwise exempted, pennants, ribbons, spinners, streamers or captive balloons which are less than ten feet in their greatest diameter, or other objects or material fastened in such a manner as to move upon being subjected to pressure by wind."
189,Interior of Bldgs – Structural Members,Section 16.24.350 (B) - Structural Members: All structural members shall be structurally sound and capable of supporting the imposed loads.
190,Stop Work Order Posted,"Section 16.04.110 – Violation of Stop Work Order: Upon notice…that work on any building or structure is being done contrary to the provisions of Chapters 16.04 and 16.28 through 16.56, or in a dangerous or unsafe manner, such work shall be immediately stopped. "
191,Temporary U&O Expired,Section 17.04.100 – No Use and Occupancy Issued: Failure to obtain a Final Use & Occupancy Inspection upon the expiration of the Temporary U & O.
192,Toilet Rooms – Location,"Section 16.24.420 (B) - Toilet Rooms (Location) Toilet rooms and bathrooms serving hotel units, rooming units, or dormitory units, shall have access by traversing not more than one flight of stairs and shall have access from a common hall or passageway."
193,Toilet Rooms – Privacy,"Section 16.24.420 (A) - Toilet Rooms (Privacy) Toilet rooms and bathrooms shall provide privacy and shall not constitute the only passageway to a hall, other space, or to the exterior. A door and interior locking device shall be provided for all common or shared bathrooms and toilet rooms in a multiple dwelling."
194,Toilet Rooms – Employee Toilet Facilitie,Section 16.24.420 (C) - Toilet Rooms Toilet facilities for employee use shall have access from within the employees' regular working area. Required toilet facilities shall be located not more than one story above or below the employees' regular working area and the path of travel to such facilities shall not exceed a distance of five hundred feet. Employee facilities shall either be separate facilities or public customer facilities.
195,Tractor-Trailer Parking,"Section 16.24.330 (K) (7) - Tractor-Trailers: On any residential property containing a single family or two-family home, no tractor-trailer (or portion thereof) shall be stored or parked anywhere on the property."
197,Commercial Truck Parking,"Section 16.24.330 (K) (6) - Trucks: On any residential property containing a single-family or two-family home, no truck with a maximum axle-load capacity of mre than one and one-half tons shall be stored or parked anywhere on the property."
198,Use Not Permitted,Section 17.08.030 – Use Not Permitted: The use of the property is not in compliance with the applicable provisions of the Metro Zoning Ordinance. -
199,Vacant Buildings,"Section 16.24.320 – Vacant Buildings and Structures: All vacant buildings, structures, and the premises thereof, shall be maintained in a safe, clean, and sanitary condition as provided herein so as not to cause blight and or otherwise adversely affect the public health, safety, or welfare. "
200,Ventilation – Bathrooms and Toilet Rooms,"Section 16.24.390 (B) - Ventilation (Bathrooms) Every bathroom and toilet room shall comply with the ventilation requirements for habitable spaces as required above, except that a window shall not be required in such spaces equipped with a mechanical ventilation system of sufficient capacity to provide at least one complete air change each six minutes. Air exhausted by a mechanical ventilation system from a bathroom or toilet room shall discharge to the outdoors and shall not be re-circulated."
201,Ventilation – Cooking Facilities,"Section 16.24.390 (C) - Ventilation (Cooking Facilities) Unless approved through the certificate of occupancy, cooking shall not be permitted in any rooming unit or dormitory unit, and a cooking facility or appliance shall not be permitted to be present in a rooming unit or dormitory unit."
202,Ventilation – Clothes Dryer Exhaust ,Section 16.24.390 (E) - Ventilation (Clothes Dryer Exhaust) Systems to manage exhaust from clothes dryers shall be independent of all other systems and shall be installed in accordance with the manufacturer's instructions.
203,Ventilation – Habitable Spaces,"Section 16.24.390 (A) - Ventilation (Habitable Spaces) In dwelling units, every habitable space shall have at least one openable window. The total openable area of the window in every room shall be equal to at least forty-five percent of the minimum glazed area required in Section 16.24.380."
204,Ventilation – Process Ventilation,"Section 16.24.390 (D) - Ventilation (Process) Where injurious, toxic, irritating or noxious fumes, gases, dusts, or mists are generated, a local exhaust ventilation system shall be provided to remove the contaminating agent at the source. Air shall be exhausted to the exterior and not be re-circulated to any interior space."
205,Water System – Contamination ,"Section 16.24.440 (B) - Water System (Contamination) The water supply shall be maintained free from contamination and all water inlets for plumbing fixtures shall be located above the flood-level rim of the fixture. Shampoo basin faucets, janitor sink faucets, and other hose bibs or faucets to which hoses are attached and left in place shall be protected by an approved atmospheric-type vacuum breaker or an approved permanently attached hose connection vacuum breaker."
206,Water System – General,"Section 16.24.440 (A) - Water System (General) Every sink, lavatory, bathtub or shower, drinking fountain, water closet, or other plumbing fixture shall be properly connected to either a public water system or to an approved private water system. All kitchen sinks, lavatories, laundry facilities, bathtubs, and showers shall be supplied with hot or tempered and cold running water in accordance with the plumbing code."
207,Water – Supply,"Section 16.24.440 (C) - Water (Supply) The water supply system shall be installed and maintained to provide a supply of water to plumbing fixtures, devices, and appurtenances in sufficient volume and at pressures adequate to enable the fixtures to function properly, safely, and free from defects and leaks."
208,Water – Water Heating Facilities,"Section 16.24.440 (D) - Water (Heating) Water heating facilities shall be properly installed and maintained, and shall provide an adequate amount of water to be drawn at every required sink, lavatory, bathtub, shower, and laundry facility at a temperature of not less than one hundred twenty degrees Fahrenheit. A gas-burning water heater shall not be located in any bathroom, toilet room, bedroom, or other occupied room normally kept closed, unless adequate combustion air is provided. An approved combination temperature and pressure-relief valve and relief valve discharge pipe shall be properly installed and maintained on water heaters."
214,ACCESSORY STRUCTURES,"Section 16.24.330 - Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound, in good repair, and in an otherwise safe, clean and sanitary condition."
216,HOURS OF COLLECTION & DUMPSTER REQUIRE,Section 10.20.330 – Dumpsters – Hours of Collection: No person shall empty container between the hours of 11 p.m. and 7 a.m. when the containers are located within 600 feet of any residential structure.
217,EXHAUST FAN DISCHARGE,"Section 16.24.330 - Exhaust Fans:  Exhaust fans or blowers, etc. shall not discharge directly upon adjacent property."
218,EXTERIOR REPAIR,Section 16.24.340 - Exterior Repair: The exterior of all buildings shall be maintained in good repair.
219,FAILURE TO SECURE,Section 16.24.320 - Failure to Secure.
220,FENCE MATERIAL,"Section 16.04.200 - Fence Materials:  Expressly prohibited, electric fences, barbed wire below six feet or fences erected with barbs or sharp projections on top unless erected to contain livestock or under other certain conditions wherein a zoning permit has been issued."
221,GATE MAINTENANCE,Section 16.24.330 - Gates:  Shall be maintained such that the gate will positively close and latch if required to be self-closing.
222,GRAFFITI,"Section 16.24.340 - Graffiti: It shall be the duty of the owner of the building, structure and or real property on which the building or structure that has been defaced to restore said surface to an approved state of maintenance and repair."
223,HIGH WEEDS,"Section 16.24.330 - High Weeds: All premises shall be maintained free from weeds, grasses, plants & vegetation in excess of 12-inches other than ornamental grasses."
224,UNLIC / INOP / ACCUMULATION MTR VEHICLES,"Section 16.24.330 - Accumulation of Motor Vehicles: The parking, storage or accumulation of an inoperable, unregistered motor vehicle or a vehicle in a state of major disrepair on private property on any premises is prohibited."
225,INTERIOR REPAIR,"Section 16.24.350 - The interior of a building or structure and any equipment therein shall be maintained in good repair, structurally sound, and in a clean and sanitary condition."
227,"OPEN STORAGE, JUNK, TRASH, DEBRIS","Section 16.24.330 - Open Storage:  It is unlawful to store in the open area of the yard or structure,  trash, rubbish, furniture, appliances, automobile parts, including dead trees, weeds and garbage, etc (Junk, Trash and Debris)."
228,PARKING ON GRASS,"Section 16.24.330 - Parking on Grass: Parking or storing motor vehicles on the grass is prohibited.  Vehicles must be parked on a paved or graveled area, other than a sidewalk.  This shall not be applicable to any vehicle for which a valid disabled driver license plate or placard has been issued and is visibly displayed on or in the vehicle."
229,PARKING AREA EXCEEDS 25%,Section 16.24.330 - Parking area for residential property shall not exceed 25% of the total lot area.
230,ADDRESS ID COMMERCIAL,Section 16.24.340 - Address Identification - Non-Residential:  All buildings and structures shall have approved address numbers at least 6-inches in size in a position to be plainly visible and legible from the street or road fronting the premises.
231,ADDRESS ID MULTI FAMILY,Section 16.24.340 - Address Identification - Multi-Family:  All buildings and structures shall have approved address numbers at least 6-inches in size in a position to be plainly visible and legible from the street or road fronting the premises.  Individual units must have identifying numbers at least 3-inches in height on or at the doors of each unit.
232,ADDRESS ID RESIDENTIAL,Section 16.24.340 - Address Identification - Residential:  All buildings and structures shall have approved address numbers at least 3-inches in size posted on residence or mailbox.
233,RODENT INFESTATION,Section 16.24.330 - Rodent Harborage: All structures shall be kept free from rodent infestation.
234,SIDEWALK AND DRIVEWAY MAINT,"Section 16.24.330 - Sidewalks & Driveways: Shall be kept in a proper state of repair, safe, clean & sanitary."
235,SWIMMING POOLS,"Section 16.24.330 - Swimming Pools:  Shall be maintained in a safe, clean, sanitary and in good repair."
237,BUILDING PERMIT REQUIRED,"Section 16.28.010 - Building Permit Required: A permit must be obtained by every person desiring to construct, alter, repair, enlarge, move or demolish any building or structure or part thereof."
238,STOP WORK ORDER POSTED,"Section 16.04.110 – Violation of Stop Work Order: Upon notice…that work on any building or structure is being done contrary to the provisions of Chapters 16.04 and 16.28 through 16.56, or in a dangerous or unsafe manner, such work shall be immediately stopped."
239,TEMPORARY U&O EXPIRED,Section 17.04.100 - No Use and Occupancy Issued: Failure to obtain a Final Use & Occupancy Inspection upon the expiration of the Temporary U & O.
240,ELECTRICAL EQUIPMENT,"Section 16.24.500 (A) - Electrical Equipment Installation: All  electrical equipment,  wiring, and  appliances shall be properly installed and maintained in a safe and approved manner."
241,ELECTRICAL RECEPTACLES,Section 16.24.500 (B) Receptacles: Every habitable space in a dwelling shall contain at least two separate and remote receptacle outlets.  Every laundry area shall contain at least one ground-type receptacle or a receptacle with a ground fault circuit interrupter.  Every bathroom shall contain at least one receptacle.  Any new bathroom receptacle outlet shall have ground fault circuit interrupter protection.
242,ELECTRICAL LIGHTING FIXTURES,"Section 16.24.500 (C) - Lighting Fixtures: Every  public hall,  interior stairway,  toilet room,  kitchen,  bathroom,  laundry room,  boiler room, and  furnace room shall contain at least one electric lighting fixture."
243,ELECTRICAL FACILITIES REQUIRED,Section 16.24.490(A) - Electrical Facilities Required: Every occupied building or structure shall be provided with an electrical system in compliance with the requirements of this section and Section 16.24.530.
244,ELECTRICAL SERVICE PANEL,"Section 16.24.490 (B) - Electrical Service: Service to the dwelling unit shall be a minimum of one hundred ampere, with three-wire capacity and service equipment shall be dead-front, having no live parts exposed.  Type “S” fuses shall be installed when fused equipment is used."
245,ELECTRICAL SYSTEM HAZARDS,"Section 16.24.490 (C) - Electrical System Hazards: [The] electrical system in a building or structure constitutes a hazard to the occupants or the building or structure by reason of  inadequate service,  improper fusing,  insufficient receptacles and  lighting outlets,  improper wiring,  or installation,  deterioration,  damage, or for similar reasons, the defects [are] to be corrected to eliminate the hazard."
246,ELECTRICAL SYSTEM CERTIFICATION,Section 16.24.490 (C) - Electrical System Hazards (Certification): Electrical system must be inspected and certified to be in a safe operating condition by a licensed electrician.
247,FIRE PROTECTION – SMOKE DETECTOR INSTALL,"Section 16.24.550 (B) - 1a & b Installation: Existing one and two-family dwellings -  outside each separate sleeping room, in the immediate vicinity of the sleeping room and  on each additional story of the dwelling unit including basements."
248,FIRE PROTECTION – SMOKE DETECTORS,Section 16.24.550 (A) - Smoke Detectors: Existing Group R occupancies not already provided with single-station smoke alarms/detectors shall be provided with approved single-station smoke alarms/detectors
249,FIRE SAFETY – EMERGENCY ESCAPE (DOORS),"Section 16.24.530 (H) - Locked Doors: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys, tools, or special knowledge or effort."
250,FIRE SAFETY – EMERGENCY ESCAPE,"Section 16.24.530 (B) - Emergency Escape and Rescue Openings: Basements with habitable rooms and every sleeping room shall have at least one openable emergency escape and rescue window or exterior door opening.  Where openings are provided as a means of escape and rescue, they shall have a sill height of not more than forty-four inches."
251,FIRE SAFETY REQUIREMENTS – EGRESS,"Section 16.24.530 (A) - General: A safe, continuous, and unobstructed means of egress shall be provided from any point in a building or structure to the public way, in accordance with the requirements of the building code and fire code as adopted by the metropolitan government."
252,FIRE SAFETY – EMERGENCY ESCAPE (OPENING),Section 16.24.530 (C) - Minimum Net Clear Opening: All emergency escape and rescue openings shall have a minimum net clear opening of four square feet.
253,FIRE SAFETY – EMERGENCY ESCAPE (HEIGHT),Section 16.24.530 (D) - Minimum Net Clear Opening Height: All emergency escape and rescue openings shall have a minimum net clear opening height of twenty-four inches.
254,FIRE SAFETY – EMERGENCY ESCAPE (WIDTH),Section 16.24.530 (E) - Minimum Net Clear Opening Width: All emergency escape and rescue openings shall have a minimum net clear opening width of twenty inches.
255,FIRE SAFETY – EMERGENCY ESCAPE (OP),"Section 16.24.530 (F) - Operation: Required emergency escape and rescue openings shall be operational from the inside of the room or space without the use of keys or special tools, knowledge, or effort."
256,PROPER MAINTENANCE REQ - OWNER,"Section 16.16.030 (B) - Proper maintenance required - Owner's responsibility - .   All devices, equipment and safeguards required by this chapter shall be installed and properly maintained in a safe and clean manner and in good working order. The owner, or his designated agent, shall be held responsible for the proper maintenance of all gas/mechanical installations and gas/mechanical systems."
257,PROPER MAINTENANCE REQ,"Section 16.16.030 (A) - Proper maintenance required- All mechanical, heating, ventilating, air conditioning and refrigeration, both new and existing, and all parts thereof and appurtenances thereto, shall be installed and maintained as required by this chapter, in a safe and clean condition."
258,SCOPE OF BUILDING CODE,"Section 16.16.020 (B) - The provisions of this code shall also apply to the installation of mechanical systems, including alterations, repairs, replacement, equipment, appliances, fixtures, fittings and/or appurtenances, including ventilating, heating, cooling, air conditioning and refrigeration systems, incinerators, radon gas reduction systems, and other energy-related systems."
259,BOARDING REQUIREMENTS,"Section 16.24.340 (U) (2) – Boarding of Vacant Buildings – Requirements: A vacant building that is boarded shall be boarded by using a minimum of three-eight inch plywood, OSB, or composite board or equivalent. Any board placed on a vacant building shall be painted a color consistent with the color of the structure using exterior grade paint, and shall be cut to fit into any windows, doors or other openings on such vacant building."
