,3212.0
condoexterior,1.0
condominium,1.0
condosexterior,1.0
condosopen,1.0
conducting,1.0
conduits,7.0
confirm,1.0
confirm.,1.0
connect,2.0
connected,6.0
connection,1.0
connects,1.0
connelly,4.0
connellyexterior,1.0
connellyhigh,1.0
connely,1.0
consignment,7.0
constant,2.0
constantly,3.0
constr,1.0
constrction,1.0
constructed,2.0
constructedexterior,1.0
constructing,3.0
construction,108.0
construction/cable,1.0
construction/rehab,1.0
constructionboarding,1.0
constructionbuilding,1.0
constructioncontinuous,1.0
constructionuse,1.0
contact,5.0
contacted,1.0
contained,1.0
containedexterior,1.0
container,11.0
"container,",1.0
"container,open",1.0
container.open,1.0
container/shed,1.0
containeropen,2.0
containers,19.0
"containers,",1.0
"containers,illegal",1.0
"containers,rubbish",13.0
"containers,sidewalk",1.0
"containers,trash",1.0
"containers,unlic",1.0
containers/buckets,1.0
containersillegal,1.0
containersopen,1.0
containersrubbish,1.0
containing,2.0
contamination,2.0
contaminationinterior,1.0
contents,1.0
continual,4.0
continuation,1.0
continued,1.0
continues,2.0
continuous,7.0
continuously,1.0
contractor,2.0
contractors,1.0
control,6.0
controlaccessory,1.0
controladdress,1.0
contruction,1.0
convenient,3.0
convent,2.0
conversion,4.0
convert,1.0
converted,13.0
convertible);,1.0
converting,2.0
convience,1.0
cooking,10.0
cookingopen,1.0
"cooler,",1.0
coolers,2.0
coolinginteriors,1.0
copen,1.0
copper,1.0
cord,10.0
cord.,1.0
corder,1.0
cords,12.0
"cords,replace,",1.0
"cords,unstop",1.0
"cords,use",2.0
cords.accessory,1.0
corener,1.0
corer,1.0
corner,61.0
corner.,2.0
cornersigns,1.0
cornet,1.0
corolla,3.0
corollavehicle,1.0
correct,2.0
correctbuilding,1.0
corrected,2.0
correctlyopen,1.0
corvette,1.0
corvetteunlic,1.0
costs,1.0
cottagebuilding,1.0
cotton,1.0
couch,180.0
couch)exterior,1.0
"couch,",5.0
couch.,2.0
couch.open,1.0
couches,23.0
couches),1.0
"couches,",2.0
couchexterior,1.0
couchopen,6.0
couchville,1.0
cougar,1.0
cougar.,1.0
cough,1.0
could,7.0
council,1.0
"council
abandoned",4.0
"council
alleged",1.0
"council
electronic",1.0
"council
excessive",1.0
"council
hgw,",3.0
"council
hgwhigh",1.0
"council
imv,pogexterior",1.0
"council
inoperable",1.0
"council
jtdopen",3.0
"council
junk",1.0
"council
junk,",1.0
"council
watercraft",1.0
councilman,1.0
counter,2.0
country,1.0
counts,1.0
county,2.0
coupkeeping,1.0
couple,3.0
couples,1.0
courier,1.0
court,3.0
court.exterior,1.0
courtesy,1.0
courtexterior,1.0
courtney),1.0
courtyardexterior,1.0
"covenants,",1.0
cover,14.0
cover)/debris/working,1.0
"cover,",1.0
"cover,replace",8.0
"cover,replace,",1.0
"cover,sanitary",2.0
"cover,sewage",1.0
"cover,smoke",1.0
"cover,water",1.0
cover.unlic,2.0
cover.vehicle,1.0
cover??,1.0
coverage,1.0
coveragesigns,1.0
covered,50.0
covered.,2.0
coveredopen,1.0
coverexterior,3.0
covering,17.0
"covering,handrails,interior",1.0
"covering,heating",4.0
"covering,hvac",4.0
"covering,interior",10.0
"covering,leaking",1.0
"covering,mechanical",2.0
"covering,plumbing",1.0
"covering,replace,",2.0
"covering,rotted",1.0
"covering,rotted,",3.0
"covering,rusted",1.0
"covering,unlic",1.0
covers,6.0
"covers,re-secure",1.0
"covers,replace",4.0
"covers,replace,",4.0
"covers,rodents,",1.0
"covers,roof",1.0
"covers,rotted,",2.0
"covers,screens",1.0
coverunlic,2.0
cowboyfailure,1.0
cows,1.0
cracked,1.0
crackingexterior,1.0
craft,2.0
craftsboat,1.0
craig,1.0
crate,1.0
crates,1.0
"crates,",1.0
cratesopen,1.0
crawl,3.0
crawlspace,2.0
cream,2.0
creating,7.0
creek,11.0
creek)illegal,1.0
"creek,",2.0
creek.open,1.0
creek;,1.0
"creekbed,",1.0
creekbedopen,1.0
creekbend,1.0
creekhigh,3.0
creekillegal,1.0
creekopen,4.0
crema,1.0
crescent,1.0
cricket,3.0
criminal,1.0
crippling,1.0
critters.,1.0
cross,2.0
crossfitsigns,1.0
crossing,1.0
crossinghigh,1.0
crossover,1.0
"crowding,",1.0
crown,3.0
crumbleexterior,1.0
crumbling;,1.0
crumblingexterior,1.0
crushed,2.0
crutcher,1.0
crv,2.0
cryslervehicle,1.0
crystal,1.0
cs,11.0
ct,7.0
ct)high,1.0
ct)open,1.0
ct.,4.0
ct.accessory,1.0
ct.exterior,1.0
ct.high,1.0
ct.open,4.0
ct.parking,1.0
ct.vehicle,1.0
ct;,1.0
ctexterior,1.0
cthigh,1.0
ctopen,2.0
ctuse,1.0
cul-de-sac.,1.0
culdesac.parking,1.0
culvert,1.0
cumberland,1.0
cupcake,1.0
curb,12.0
curb),1.0
curb).exterior,1.0
curb)open,2.0
curb.,2.0
curb.exterior,2.0
curb.open,4.0
curb/street,1.0
curbexterior,4.0
curbopen,18.0
curbparking,1.0
curbtrash,1.0
current,2.0
currently,1.0
curve,1.0
cushions,1.0
cushions)open,1.0
"cushions,",1.0
customer,1.0
customers,1.0
customersuse,1.0
cut,70.0
cut.,4.0
cut.high,1.0
cut.open,1.0
cutexterior,1.0
cuthigh,3.0
"cutie,",1.0
cutlassvehicle,1.0
cutlasvehicle,1.0
cuts,1.0
cutting,7.0
cuttingopen,1.0
cvs,1.0
cw,1.0
d,1.0
d'sopen,1.0
d),1.0
"d,",1.0
d-8other,1.0
d.b.-,1.0
dabbs,1.0
"dabbs,",1.0
daily,6.0
daily's,1.0
daily.,1.0
daily.exterior,1.0
daily.open,1.0
dailyparking,1.0
dailytrash,2.0
dailyuse,1.0
dairy,3.0
dakotavehicle,1.0
dalapidated,1.0
dam,1.0
damage,13.0
"damage,",1.0
damaged,61.0
damaged)accessory,1.0
"damaged,",2.0
damaged.,1.0
damaged/dilapidated,1.0
damaged;,1.0
damagedaccessory,1.0
damageexterior,5.0
damagehigh,1.0
damagemissing,1.0
damageopen,1.0
damagevehicle,1.0
damaging,2.0
damp,1.0
danby.unlic,1.0
dance,1.0
dangerous,5.0
dangerous.parking,1.0
darango,1.0
dark,19.0
dat,1.0
date,1.0
daughters,1.0
dav-a-do,1.0
davenport,1.0
david,1.0
day,15.0
"day,",3.0
day.,4.0
day.always,1.0
day.overcrowding,1.0
day.use,1.0
day;,1.0
daycare,19.0
"daycare,",1.0
daycare.,1.0
daycare.open,1.0
daycare/kenneluse,1.0
daycareopen,1.0
daymar,1.0
dayparking,1.0
days,6.0
days.,3.0
days.exterior,1.0
days.parking,1.0
daysexterior,1.0
daystrash,1.0
daytrash,1.0
dayuse,1.0
db,1.0
dbris,1.0
dbrisexterior,1.0
dd96)vehicle,1.0
ddrivewayopen,1.0
de,1.0
dead,22.0
deadend,1.0
deaking,1.0
deal,1.0
dealer,1.0
dealer.parking,1.0
dealerprohibited,1.0
dealership)unlic,1.0
dearborn,1.0
debirs,3.0
"debirs,",1.0
debirsopen,4.0
debirsunlic,1.0
debis,1.0
debisexterior,1.0
debow,1.0
debowopen,1.0
debri,1.0
"debrid,",1.0
debriexterior,1.0
debriopen,2.0
debris,9610.0
"debris
high",1.0
debris)open,1.0
"debris,",795.0
"debris,.",1.0
"debris,accessory",2.0
"debris,address",1.0
"debris,building",1.0
"debris,exterior",26.0
"debris,fire",2.0
"debris,high",38.0
"debris,inoperable",2.0
"debris,litter",32.0
"debris,open",13.0
"debris,other",1.0
"debris,overcrowding",61.0
"debris,overcrowding,paint",1.0
"debris,overcrowding,parking",8.0
"debris,overcrowding,unlic",4.0
"debris,overhaul",21.0
"debris,paint",43.0
"debris,parking",1493.0
"debris,paving",4.0
"debris,plumbing",18.0
"debris,pog,premises",1.0
"debris,prohibited",12.0
"debris,proper",6.0
"debris,provide",1.0
"debris,raise",4.0
"debris,remove",4.0
"debris,repair",5.0
"debris,replace",3.0
"debris,rodent",1.0
"debris,roof",2.0
"debris,rubbish",37.0
"debris,rusted",16.0
"debris,rv",1.0
"debris,sanitary",4.0
"debris,school",1.0
"debris,scope",1.0
"debris,sewage",3.0
"debris,sidewalk",10.0
"debris,sign",7.0
"debris,signs",8.0
"debris,smoke",1.0
"debris,stagnant",5.0
"debris,stop",16.0
"debris,swimming",44.0
"debris,tractor-trailer",2.0
"debris,trash",15.0
"debris,underpinning,",2.0
"debris,unlic",1019.0
"debris,unsafe",3.0
"debris,use",204.0
"debris,vehicle",1.0
debris-,1.0
debris-ditchlineexterior,1.0
debris-fallen,1.0
debris-paint,1.0
debris.,254.0
debris.accessory,2.0
debris.address,1.0
debris.building,2.0
debris.exterior,29.0
debris.failure,1.0
debris.high,3.0
debris.landlord,1.0
debris.occupancy,1.0
debris.open,85.0
debris.parking,2.0
debris.unlic,1.0
debris.use,1.0
debris/,31.0
debris/applianceopen,1.0
debris/ext.,1.0
debris/exterior,2.0
debris/fence,4.0
debris/grasshigh,1.0
debris/high,1.0
debris/imvopen,1.0
debris/in,1.0
"debris/inop,unreg",2.0
debris/inoperable,16.0
"debris/inoperable,unregistered",3.0
debris/inoperable-unliscened,1.0
debris/inoperable/unlicensed,1.0
debris/pallethigh,1.0
debris/palletsopen,1.0
debris/parking,6.0
debris/pogexterior,1.0
debris/pool,1.0
debris/premis,1.0
debris/roof,1.0
debris/signage,1.0
debris/use/inoperable,1.0
debris/useopen,1.0
debris/weedshigh,1.0
debris:,1.0
debris;,278.0
debris;exterior,1.0
debris;open,4.0
debrisaccessory,48.0
debrisaddress,38.0
debrisbb,1.0
debrisboarding,28.0
debrisboat,12.0
debrisbroken,2.0
debrisbuilding,43.0
debriscexterior,1.0
debrischickens,3.0
debriscommercial,15.0
debriscopen,1.0
"debriscornices,",3.0
"debrisdirt,",4.0
debriselectrical,2.0
debrisext,1.0
debrisexterior,1037.0
debrisfailure,12.0
debrisfence,2.0
debrisgarage,2.0
"debrisgraffiti,high",1.0
"debrisgraffiti,open",5.0
debrishigh,211.0
debrishome,1.0
debrisi;,1.0
debrisl,1.0
debrislandlord,14.0
debrislitter,2.0
debrisoccupancy,4.0
debrison-premises,1.0
debrisopen,2224.0
debrisovercrowding,2.0
debrisparking,13.0
debrisrubbish,1.0
debrissigns,2.0
debrissopen,1.0
debrisunlic,7.0
debrisuse,2.0
debrsopen,1.0
decayed,1.0
decaying,1.0
decayingexterior,1.0
deceased,3.0
deceased.,1.0
deceased;,1.0
deceasedhigh,1.0
december,2.0
deck,57.0
"deck,",10.0
deck.,4.0
deck.building,1.0
deck.exterior,1.0
deck.open,2.0
deck/overhangbuilding,1.0
deck/porch,1.0
deck;,4.0
deckaccessory,3.0
deckbuilding,5.0
deckexterior,14.0
deckhigh,1.0
decking,1.0
decklandlord,1.0
deckopen,10.0
deckparking,1.0
decks,12.0
"decks,",1.0
"decks,exterior",56.0
"decks,forced",1.0
"decks,high",1.0
"decks,open",3.0
"decks,roof",1.0
"decks,rotted,",1.0
"decks,swimming",1.0
decorative,30.0
"dedris,",1.0
deep,2.0
defecation.use,1.0
defective,191.0
defects,11.0
"defects,damaged",2.0
"defects,electrical",6.0
"defects,exterior",1.0
"defects,floor",1.0
"defects,hvac",2.0
"defects,overhaul",1.0
"defects,pan",1.0
"defects,plumbing",6.0
"defects,provide",1.0
"defects,re-secure",3.0
"defects,replace",2.0
"defects,replace,",2.0
"defects,roof",1.0
"defects,rotted,",1.0
"defects,sanitary",2.0
"defects,smoke",1.0
"defects,trap",1.0
"defects,unstop",1.0
"defects,use",1.0
defendant,1.0
deflated,1.0
delap,1.0
delapatated,1.0
delapidated,6.0
delapidatedaccessory,1.0
delivery,4.0
dellway,3.0
dellway.,1.0
delmas,1.0
delta,2.0
demo,14.0
demo)open,1.0
demo.open,1.0
demo/unsecuredexterior,1.0
demobuilding,1.0
demoed,5.0
demoexterior,2.0
demoing,1.0
demoingbuilding,1.0
demolished,7.0
demolished.,2.0
demolishing,3.0
demolition,3.0
demolition/construction/rehabbuilding,1.0
demolitionopen,1.0
demoopen,1.0
denied,1.0
"denied,",1.0
dennywood,1.0
dent,1.0
denton)open,1.0
depasquo,1.0
depicting,1.0
deplorable,11.0
depot.,1.0
dept,5.0
"dept,",1.0
dept.,3.0
dept.high,1.0
dept.open,1.0
deris,3.0
description,35.0
description.plumbing,1.0
descriptionvehicle,1.0
desplane,1.0
destroying,1.0
detached,16.0
"detached,",1.0
detail,3.0
detail),1.0
detailing,2.0
detailingsigns,1.0
details.open,1.0
detector,47.0
detector.,1.0
detectorefire,1.0
detectors,22.0
"detectors,",1.0
"detectors,fire",6.0
"detectors,floor",11.0
"detectors,forced",3.0
"detectors,heating",11.0
"detectors,high",2.0
"detectors,hot",2.0
"detectors,hvac",9.0
"detectors,interior",51.0
"detectors,interiors",2.0
"detectors,landlord",4.0
"detectors,leaking",2.0
"detectors,mechanical",4.0
"detectors,mortar",1.0
"detectors,open",2.0
"detectors,overcrowding,remove",1.0
"detectors,overhaul",1.0
"detectors,pan",1.0
"detectors,plumbing",4.0
"detectors,proper",1.0
"detectors,replace",1.0
"detectors,swimming",1.0
"detectors,unlic",2.0
"detectors,unstop",1.0
"detectors,use",1.0
"detectors,water",3.0
detectorsbuilding,1.0
detectorsfire,1.0
detention,1.0
deteriorate.exterior,1.0
deteriorating.,1.0
determined,1.0
deterring,4.0
detjen,1.0
detoriating.,1.0
developerexterior,1.0
devices,1.0
deweesfence,1.0
dexterior,3.0
diameter,1.0
diapers,2.0
dickerson,2.0
did,9.0
didn't,7.0
died,1.0
died.,1.0
"diesel,",1.0
different,9.0
digging,2.0
digital,3.0
dil,3.0
dilap,1.0
dilap.,1.0
dilapadated,15.0
dilapadted,1.0
dilapated,1.0
dilapidatd,1.0
dilapidate,6.0
dilapidated,1426.0
"dilapidated,",14.0
dilapidated.,2.0
dilapidated....please,1.0
dilapidated/coroded,1.0
dilapidated/missingexterior,1.0
dilapidated/unkept,1.0
dilapidated/unsafe,1.0
dilapidated/vacant,1.0
dilapidatedaccessory,1.0
"dilapidatedbanners,signs",1.0
dilapidatedexterior,7.0
dilapidatedhigh,1.0
dilapidatedopen,3.0
dilapidatedqparking,1.0
dilapidatedv,1.0
dilapitated,8.0
dilapitated.,1.0
"dilaplidated,",1.0
dilapodated,1.0
dilipidated,1.0
dilipitatedaccessory,1.0
dilop,1.0
dilp,2.0
dilpadated,2.0
dilpaidated,7.0
dilpaidatedexterior,1.0
dilpatated,1.0
dilpidated,1.0
diner,1.0
dipalidated,3.0
direct,1.0
directed,4.0
directing,2.0
"direction,",1.0
direction.,2.0
direction.vehicle,2.0
directional,1.0
directionvehicle,2.0
directly,6.0
dirive,1.0
dirt,14.0
"dirt,",1.0
dirt.,1.0
dirtbikes.exterior,1.0
dirtbuilding,1.0
dirty,7.0
"dirty,",1.0
dis/repair,4.0
"dis/repair,exterior",88.0
"dis/repair,high",1.0
"dis/repair,open",2.0
"dis/repair,unlic",1.0
disabled,1.0
disassembled,1.0
discarded,2.0
discharge,4.0
discontinue,1.0
discount,5.0
disgruntle,1.0
dish,1.0
dishwasher,1.0
dishwashers.exterior,1.0
dismissed,2.0
disp.,6.0
display,194.0
displayed,2.0
displaying,5.0
disposal,57.0
disposing,5.0
disposing.open,1.0
disreapirexterior,1.0
disrepair,25.0
"disrepair,",14.0
"disrepair,interior",1.0
"disrepair,open",3.0
"disrepair,plumbing",1.0
disrepair.,5.0
disrepair.exterior,2.0
disrepair;,2.0
disrepairaccessory,7.0
disrepairaddress,1.0
disrepairbanister,1.0
disrepairbuilding,1.0
disrepairelectrical,1.0
disrepairexterior,25.0
disrepairhigh,1.0
disrepairopen,2.0
disrepairpaint,1.0
disrepairsign,1.0
disrupted,1.0
distance,3.0
distance;,1.0
distancefence,1.0
distancehigh,1.0
distancesigns,1.0
distillery/brewing,1.0
district,51.0
"district,exterior",66.0
"district,failure",2.0
"district,fence",1.0
"district,high",2.0
"district,home",2.0
"district,landlord",2.0
"district,occupancy",2.0
"district,open",63.0
"district,parking",29.0
"district,prohibited",3.0
"district,tractor-trailer",2.0
"district,unlic",5.0
"district,use",44.0
districtcommercial,1.0
districtexterior,1.0
disturbing,1.0
ditch,21.0
ditch);,1.0
ditch)exterior,1.0
ditch)high,5.0
ditch)open,5.0
"ditch,",5.0
ditch.,5.0
ditch.illegal,1.0
ditch.open,5.0
ditch/system,1.0
ditchaccessory,2.0
ditchaddress,1.0
ditches,1.0
"ditches,",1.0
ditchexterior,12.0
ditchhigh,46.0
ditchlitter,1.0
ditchopen,44.0
dive,2.0
diverse,1.0
diversifiedsigns,1.0
diverted,1.0
diverting,4.0
divides,1.0
division,1.0
divisionsbuilding,1.0
dixon,2.0
do,16.0
doctorbanners,1.0
doctors,1.0
dodge,31.0
dodge.,1.0
dodge.vehicle,1.0
dodgeunlic,1.0
does,22.0
doesn't,51.0
doesnt,2.0
dog,34.0
dog);,2.0
dog.open,1.0
doggy,1.0
dogs,5.0
dogs)high,1.0
dogsaccessory,1.0
dogsexterior,1.0
dogvacay,1.0
doing,7.0
dollar,12.0
dollare,1.0
dollaropen,4.0
domestic,38.0
dominoes,1.0
dominoes-,1.0
dominoessigns,1.0
dominosopen,1.0
don't,5.0
done,12.0
done.,1.0
done.open,1.0
donebuilding,1.0
donelson,4.0
donelsonhigh,2.0
donelsonprohibited,1.0
doneopen,1.0
donna's.,1.0
donut,1.0
doomer/upper,1.0
door,95.0
door)high,3.0
"door,",5.0
"door,cold",2.0
"door,cornices,",2.0
"door,correct",1.0
"door,cracked",1.0
"door,damaged",120.0
"door,defective",2.0
"door,electrical",3.0
"door,exterior",7.0
"door,interior",4.0
"door,re-secure",1.0
door.,5.0
door.ext,1.0
door.exterior,4.0
"door.graffiti,open",1.0
door.open,2.0
door.sanitary,1.0
door.vehicle,1.0
door/overhangexterior,1.0
dooraccessory,2.0
dooraddress,1.0
doorboarding,1.0
doorbuilding,1.0
doorcommercial,1.0
doorext,1.0
doorexterior,14.0
doorgraffiti,1.0
doorhigh,1.0
dooropen,9.0
doorparking,2.0
doors,55.0
"doors,",3.0
"doors,exterior",68.0
"doors,extermination",2.0
"doors,fire",5.0
"doors,floor",1.0
"doors,heating",1.0
"doors,high",1.0
"doors,interior",26.0
"doors,interiors",2.0
"doors,landlord",2.0
"doors,leaking",1.0
"doors,mechanical",2.0
"doors,open",10.0
"doors,plumbing",2.0
"doors,replace",1.0
"doors,replace,",1.0
"doors,rotted,",1.0
"doors,unstop",2.0
"doors,use",1.0
"doors,vent",1.0
"doors,water",1.0
doors.,1.0
doors;,2.0
doorsboarding,1.0
doorsext,1.0
doorsexterior,1.0
doorvehicle,2.0
dorm,1.0
"dormer,",1.0
dormers,1.0
double,3.0
douglas,2.0
dove,1.0
down,79.0
down)exterior,1.0
"down,",9.0
down.,7.0
down.exterior,1.0
down.vehicle,1.0
down/,2.0
down;,2.0
downaccessory,2.0
downdilapidated,1.0
downed,38.0
downexterior,1.0
downhazardous,1.0
downhigh,4.0
downhill;,1.0
downopen,10.0
downparking,1.0
downsidewalk,1.0
downspout,4.0
downspout),1.0
downspouts,58.0
downspouts),1.0
"downspouts,open",3.0
"downspouts,paint",1.0
"downspouts,replace",1.0
"downspouts,smoke",4.0
"downspouts,unlic",9.0
"downspouts,use",1.0
downspoutsaddress,1.0
downspoutsexterior,1.0
downstairs,3.0
downstairsbuilding,1.0
downunlic,1.0
dozens,1.0
dprohibited,1.0
dr,8.0
dr),1.0
dr)exterior,1.0
dr)high,1.0
"dr,",4.0
dr.,11.0
dr.;,1.0
dr.address,1.0
dr.damaged,1.0
dr.exterior,2.0
dr.high,3.0
dr.litter,1.0
dr.open,3.0
dr.parking,4.0
dr.use,1.0
dr.vehicle,1.0
dr.with,1.0
dr;,1.0
draccessory,1.0
drain,49.0
"drain,damaged",4.0
"drain,exterior",3.0
"drain,plumbing",1.0
drain.,1.0
drain.open,1.0
drainage,210.0
drainage.open,1.0
drainbuilding,1.0
draining,2.0
dress,1.0
dresser.open,1.0
dresserexterior,1.0
"dressers,",1.0
drexterior,2.0
drhigh,3.0
dripping,1.0
drive,75.0
drive).open,1.0
"drive,",22.0
drive-way,1.0
drive.,13.0
drive.exterior,2.0
drive.open,3.0
"drive/grass,",2.0
drive/grassexterior,4.0
drive/yard.,1.0
drive;,2.0
driveaccessory,1.0
driveboat,1.0
drivecommercial,5.0
driveexterior,94.0
drivehigh,2.0
driveopen,8.0
driveparking,3.0
driver,2.0
drivers,5.0
drivers.,1.0
drivershigh,1.0
drives,1.0
driveunlic,50.0
drivewar,1.0
drivewatexterior,1.0
driveway,197.0
driveway),1.0
driveway).,1.0
driveway)high,1.0
"driveway,",49.0
"driveway,exterior",2.0
driveway-flat,1.0
driveway-red,1.0
driveway.,72.0
driveway.address,2.0
driveway.commercial,2.0
driveway.exterior,10.0
driveway.fire,1.0
driveway.high,1.0
driveway.open,13.0
driveway.parking,2.0
driveway.unlic,20.0
driveway.use,1.0
driveway/,1.0
driveway/carportexterior,1.0
driveway/sidewalk.,1.0
driveway/street.,1.0
driveway/streetparking,1.0
driveway/yard,1.0
driveway/yards.unlic,1.0
driveway/yardunlic,1.0
driveway;,12.0
driveway??,1.0
drivewayaccessory,1.0
drivewayaddress,3.0
drivewaybuilding,1.0
drivewaycommercial,7.0
drivewaydamaged,1.0
drivewayexterior,101.0
drivewayfence,1.0
drivewayhigh,7.0
drivewayopen,70.0
drivewayparking,14.0
driveways,2.0
drivewaysanitary,1.0
drivewayunlic,97.0
drivewayuse,4.0
driving,3.0
drlighting,3.0
drlitter,1.0
dropen,2.0
dropped,2.0
drparking,2.0
drsewage,1.0
drug,4.0
drugs,2.0
drugsopen,1.0
drum,2.0
drums,4.0
drumsopen,1.0
dry,2.0
drycleaners,1.0
dryer,30.0
"dryer),",1.0
"dryer,",1.0
dryer.open,1.0
dryers,1.0
"dryers,",1.0
dryers.,1.0
drywall,2.0
dsrpexterior,1.0
duck,1.0
ducks,3.0
duct,7.0
due,11.0
dug,7.0
duke,1.0
duling,1.0
dumbster,1.0
dump,20.0
dump.open,1.0
dumped,40.0
dumped.exterior,1.0
dumped.open,1.0
dumped/picked,1.0
dumpedopen,2.0
dumping,123.0
"dumping,",11.0
"dumping,open",3.0
dumping-,2.0
dumping.,5.0
dumpingexterior,5.0
dumpinghigh,2.0
dumpingillegal,4.0
dumpinglitter,1.0
dumpingopen,13.0
dumpinguse,1.0
dumps,1.0
dumpster,108.0
dumpster)open,1.0
dumpster.,7.0
dumpster.exterior,1.0
dumpster.open,3.0
dumpster/clean,1.0
dumpster;,2.0
dumpsterboarding,1.0
dumpsterexterior,4.0
"dumpstergraffiti,open",1.0
dumpsteropen,19.0
dumpsterrubbish,1.0
dumpsters,30.0
"dumpsters,",1.0
"dumpsters,unlic",1.0
dumpsters.,4.0
dumpsters.exterior,2.0
dumpsters;,1.0
dumpstershours,1.0
dumpstersopen,4.0
dumpters,1.0
dumspters,1.0
dumster-trash,1.0
dumster.,1.0
dune,1.0
duplex,28.0
duplex)-,1.0
duplex)high,1.0
duplex)overcrowding,1.0
"duplex,",6.0
duplex-high,1.0
duplex.,18.0
duplex.building,2.0
duplex.exterior,1.0
duplex.high,1.0
duplex.occupancy,1.0
duplex.open,3.0
duplex.use,2.0
duplex/multiplex,1.0
duplex;,6.0
duplexaddress,1.0
duplexbuilding,3.0
duplexclean,1.0
duplexes,1.0
duplexes/trashexterior,1.0
duplexexterior,3.0
duplexhigh,1.0
duplexlandlord,1.0
duplexoccupancy,1.0
duplexopen,6.0
duplexparking,2.0
duplexrubbish,1.0
duplexuse,7.0
duplicate,1.0
dupont,1.0
durango,1.0
durangovehicle,1.0
during,39.0
dust,2.0
dutchmans,1.0
dwell,1.0
dweller,1.0
dwelling,31.0
dwelling).,1.0
dwelling.,1.0
dwelling.exterior,1.0
dwelling.overcrowding,1.0
dwelling///interior,1.0
dwellingaccessory,2.0
dwellingbuilding,1.0
dwellingexterior,3.0
dwellingfence,1.0
dwellingfire,1.0
dwellinghigh,1.0
dwellingopen,1.0
dwellingovercrowding,1.0
dwellings,2.0
e,2.0
e&r,1.0
e-buildingopen,1.0
e.,1.0
e02-66k.,1.0
e05-81kvehicle,1.0
e92-92jvehicle,1.0
each,6.0
eachother.,1.0
eagle,1.0
earlier,2.0
early,9.0
early.,1.0
earlyexterior,1.0
easement,2.0
easementhigh,1.0
easementuse,1.0
east,3.0
easy,4.0
eater,1.0
eating,1.0
eatons,1.0
eave,2.0
eave/trimexterior,1.0
eaves,2.0
"eaves,",45.0
ebony,1.0
ect)open,1.0
"ect.)
parking",1.0
ect.open,1.0
edge,9.0
edgehigh,1.0
edgemeade,1.0
edmondsonsigns,1.0
edquipment/materials,1.0
edselunlic,1.0
effective,1.0
effort,1.0
egress,5.0
"egress,graffiti,overhaul",1.0
"egress,interior",6.0
"egress,occupancy",1.0
"egress,open",1.0
"egress,overhaul",1.0
"egress,use",2.0
egressfire,1.0
eight,1.0
eisenhower,1.0
either,4.0
either;,1.0
el,2.0
elantra,1.0
elderly,2.0
elec,1.0
"electeric,",1.0
electic,1.0
electric,25.0
electric.,2.0
electrical,56.0
"electrical,",6.0
electrical.,1.0
electrical/plumbing,1.0
electricity,20.0
"electricity,",1.0
electricity.,2.0
electricity.correct,1.0
electricity.electrical,3.0
electricity;,5.0
electricitybroken,1.0
electricityelectrical,1.0
electricityexterior,1.0
electricityuse,1.0
electricopen,1.0
electrics.open,1.0
electronic,80.0
electronic(led),1.0
elegancia,2.0
elephant.graffiti,1.0
elevator,1.0
elgin,2.0
elkins,1.0
ellendale's.,1.0
ellistonopen,1.0
elm,1.0
else,1.0
else.,2.0
email,7.0
"email
(area",1.0
"email
(hotline",1.0
"email
1.",1.0
"email
abandoned",1.0
"email
add",1.0
"email
advertising",13.0
"email
alleged",1.0
"email
burned",2.0
"email
by",1.0
"email
commercial",1.0
"email
construction",1.0
"email
continuing",1.0
"email
dilapidated",8.0
"email
excess",8.0
"email
exterior",1.0
"email
graffitigraffiti",1.0
"email
grasshigh",1.0
"email
has",2.0
"email
hg-vac",1.0
"email
hgwhigh",1.0
"email
high",18.0
"email
house",1.0
"email
imv,pogexterior",1.0
"email
imv/yardexterior",2.0
"email
inoperable",18.0
"email
junk",31.0
"email
junk,",9.0
"email
junk/trash/debris,",2.0
"email
mattresses",1.0
"email
missing",1.0
"email
needs",6.0
"email
no",8.0
"email
noise,",3.0
"email
not",1.0
"email
open",1.0
"email
overcrowding.",1.0
"email
overcrowding;",2.0
"email
overcrowdingexcess",1.0
"email
owner",1.0
"email
parking",28.0
"email
peeling",1.0
"email
people",2.0
"email
pile",1.0
"email
refrigerator",1.0
"email
renting",1.0
"email
running",3.0
"email
shipping",1.0
"email
stop",1.0
"email
storage",1.0
"email
str",1.0
"email
strp",3.0
"email
strp,",1.0
"email
strpstrp",2.0
"email
suite",1.0
"email
trash",1.0
"email
tree",1.0
"email
use,",1.0
"email
vacant",1.0
"email
vehicles",1.0
"email
washing",1.0
"email
working",2.0
"email
yard",1.0
email.excess,1.0
embers,1.0
emdeon,1.0
emergency,7.0
emery,1.0
emeryhigh,2.0
emissions,1.0
employee,7.0
employees,11.0
employeesuse,1.0
empted,1.0
emptied,9.0
empty,16.0
"empty,",2.0
emptying,2.0
enclose,1.0
enclosed,10.0
enclosing,3.0
enclosure,5.0
enclosurebuilding,1.0
enclosureexterior,1.0
encroaching,3.0
end,21.0
end.exterior,1.0
engine,10.0
engineopen,1.0
engines,1.0
enginesuse,1.0
enormous,1.0
enough,2.0
enough.,1.0
ensley,1.0
enter,8.0
entered,11.0
entereduse,1.0
entering,1.0
enteringexterior,1.0
enteringfailure,1.0
enteriorexterior,1.0
enterpriseelectronic,1.0
enterprises,1.0
entertainment,13.0
entire,16.0
